Unnamed: 0,一,二,三,四,五,六,日,一.1,二.1,三.1,四.1,五.1,六.1,日.1,一.2,二.2,三.2,四.2,五.2,六.2,日.2,一.3,二.3,三.3,四.3,五.3,六.3,日.3,一.4,二.4
,04/01,04/02,04/03,04/04,04/05,04/06,04/07,04/08,04/09,04/10,04/11,04/12,04/13,04/14,04/15,04/16,04/17,04/18,04/19,04/20,04/21,04/22,04/23,04/24,04/25,04/26,04/27,04/28,04/29,04/30
00:15,224,1408,1694,1206,1187,1091,766,237,1232,1280,1035,1418,1578,1043,443,1469,1510,1590,1662,1603,1179,222,1528,1453,1110,1299,1254,1262,227,1584
00:30,230,1390,1685,1293,1030,1066,666,222,1208,1386,1043,1438,1570,1002,432,1472,1536,1466,1667,1646,1114,222,1507,1459,1170,1266,1203,1189,219,1634
00:45,235,1378,1701,1275,978,1080,659,224,1229,1445,1034,1408,1654,1000,424,1454,1475,1488,1522,1490,1061,232,1374,1462,1354,1258,1237,1213,227,1622
01:00,227,1411,1682,1338,1163,1070,664,226,1227,1368,1074,1432,1654,1002,432,1461,1469,1539,1666,1589,1019,229,1781,1443,1336,1333,1058,1230,224,1632
01:15,226,1379,1674,1370,1144,1077,640,227,1218,1395,1013,1443,1674,1006,434,1435,1477,1594,1549,1541,994,218,1638,1416,1355,1312,1205,1242,222,1526
01:30,227,1368,1674,1344,1131,1070,603,227,1221,1256,957,1638,1650,984,434,1451,1480,1819,1658,1528,1002,230,1635,1426,1317,1197,1224,1182,219,1501
01:45,232,1294,1667,1341,1110,1072,592,222,1211,1390,1072,1640,1666,982,424,1416,1453,1752,1656,1530,838,226,1619,1413,1365,1211,1229,1173,213,1570
02:00,219,1306,1629,1165,1133,1075,597,229,1203,1366,1142,1739,1613,971,440,1402,1480,1635,1605,1563,830,214,1586,1408,1267,1181,1226,1200,221,1739
02:15,222,1298,1562,1077,984,1123,594,222,1261,1328,1189,1525,1570,941,437,1389,1382,1635,1645,1491,835,219,1637,1416,1421,1333,1222,1218,232,1723
02:30,227,1314,1387,1066,904,941,594,222,1267,1402,1178,1414,1518,939,438,1403,1446,1674,1574,1416,834,227,1570,1317,1400,1458,1234,1144,221,1725
02:45,219,1339,1309,1034,952,898,586,232,1256,1342,1144,1544,1379,938,429,1421,1510,1616,1626,1400,843,224,1627,1432,1403,1472,1270,1152,229,1717
03:00,224,1350,1310,1056,933,878,576,238,1264,1328,1147,1590,1525,923,427,1408,1414,1651,1714,1488,834,219,1627,1408,1341,1347,1243,1205,226,1741
03:15,227,1165,1318,1054,949,862,565,250,1235,1291,1168,1592,1598,912,429,1410,1582,1621,1669,1517,832,229,1653,1414,1320,1389,1291,1179,219,1538
03:30,222,1354,1410,1211,997,878,576,238,1189,1258,1118,1570,1574,909,434,1395,1530,1648,1605,1467,837,232,1694,1395,1365,1424,1195,1181,222,1502
03:45,227,1514,1533,1243,992,872,590,227,1194,1221,1093,1386,1510,925,432,1402,1478,1632,1590,1475,846,218,1685,1395,1333,1371,1490,1155,224,1565
04:00,227,1584,1546,1261,1005,869,566,227,1181,1229,1069,1389,1600,816,421,1379,1557,1662,1670,1458,867,218,1624,1421,1355,1389,1424,1198,211,1714
04:15,232,1662,1523,1288,1154,842,557,222,1202,1214,1093,1395,1592,746,422,1360,1379,1734,1678,1461,829,219,1618,1386,1296,1426,1453,1149,224,1710
04:30,230,1550,1510,1202,1125,837,558,226,1203,1272,1122,1328,1546,706,422,1341,1461,1765,1661,1387,789,221,1613,1333,1333,1376,1400,1026,221,1606
04:45,229,1546,1515,1274,1040,837,568,226,1194,1426,1109,1310,1470,723,429,1352,1478,1720,1627,1390,790,218,1637,1299,1272,1382,1381,933,224,1723
05:00,232,1534,1525,1253,1085,858,566,227,1181,1355,1144,1234,1576,709,427,1347,1429,1720,1683,1318,776,219,1630,1374,1346,1334,1416,934,222,1690
05:15,235,1528,1558,1246,1146,856,570,226,1200,1414,1080,1254,1386,704,422,1349,1494,1682,1614,1320,757,229,1592,1432,1302,1259,1403,827,224,1674
05:30,227,1458,1541,1216,1123,861,571,226,1195,1392,1082,1270,1408,718,416,1349,1430,1656,1598,1355,715,219,1592,1334,1302,1293,1397,800.128,218.768,1715
05:45,221,1512,1550,1248,1106,917,571,224,1206,1413,1053,1299,1549,725,418,1336,1381,1611,1622,1390.664,712.912,209.712,1563,1350,1285,1193.096,1387.152,651.392,216.12,1684.368
