Unnamed: 0,一,二,三,四,五,六,日,一.1,二.1,三.1,四.1,五.1,六.1,日.1,一.2,二.2,三.2,四.2,五.2,六.2,日.2,一.3,二.3,三.3,四.3,五.3,六.3,日.3,一.4,二.4,三.4,四.4,五.4,六.4,日.4
,,,,,12/01,12/02,12/03,12/04,12/05,12/06,12/07,12/08,12/09,12/10,12/11,12/12,12/13,12/14,12/15,12/16,12/17,12/18,12/19,12/20,12/21,12/22,12/23,12/24,12/25,12/26,12/27,12/28,12/29,12/30,12/31
00:15,,,,,1576,1506,954,230,1643,1666,1418,1568,1624,1339,234,1398,1387,1384,1440,1243,1062,219,1358,1315,1499.128,1334,1520,1056,253,1336,1440,1226,1528,853,694
00:30,,,,,1597,1498,922,229,1637,1651,1389,1382,1619,1322,240,1390,1400,1392,1262,1235,1024,203,1325.128,1280.128,1470,1352,1482,998,248,1315,1330,1227,1429,851,658
00:45,,,,,1570,1520,933,234,1704,1706,1395,1365,1579,1331,242,1354,1341,1386,1301,1229,1040,214,1363,1083,1502,1346,1474,976,251,1301,1507,1205,1422,851,605
01:00,,,,,1571,1512,965,237,1600,1576,1384,1384,1619,1294,227,1338,1379,1398,1155,1226,1040,222,1315,1091,1494,1342,1486,990,245,1299,1384,1266,1363,848,614
01:15,,,,,1581,1486,974,222,1677,1706,1358,1459,1581,1227,242,1354,1368,1394,1258,1258,1110,213,1325,1086,1419,1291,1530,1034,245,1291,1370,1458,1373,845,613
01:30,,,,,1574,1506,979,229,1643,1610,1358,1558,1621,1200,232,1326,1366,1392,1214,1253,1088,218,1328,1106,1499,1288,1400,1054,246,1283,1637,1357,1408,843,605
01:45,,,,,1531,1330,874,227,1629,1701,1363,1526,1592,1182,227,1331,1373,1410,1258,1253,1053,210,1342,1187,1514,1283,1350,1069,246,1290,1422,1766,1546,862,616
02:00,,,,,1570,1326,741,226,1648,1658,1354,1550,1557,1232,232,1318,1318,1402,1208,1248,1054,208,1317,1278,1526.128,1274,1342,883,243,1282,1430,1533,1466,848,600
02:15,,,,,1574,1379,838,230,1618,1611,1363,1522,1592,1186,226,1323,1392,1403,1258,1296,1056,227,1358,1259.128,1499,1280,1360,774,238,1347,1443,1690,1429,835,608
02:30,,,,,1552,1557,912,230,1698,1678,1362,1526,1592,1176,232,1307,1398,1390,1032,1291,1059,232,1350,1344,1462,1363,1338,872,246,1344,1301,1397,1389,834,622
02:45,,,,,1562,1357,909,230,1714,1648,1394,1536,1643,1109,230,1322,1350,1390,1046,1350,1067,219,1358,1293,1549.128,1376,1378,939,250,1341,1339,1482,1333,835,622
03:00,,,,,1613,1237,864,232,1706,1728,1405,1613,1603,1043,234,1318,1358,1414,1040,1347,1053,224,1392,1202,1557,1378,1395,774,242,1352,1336,1397,1299,842,626
03:15,,,,,1566,1190,958,230,1678,1733,1410,1534,1634,1018,230,1326,1294,1411,1027,1370,1042,214,1398,1296,1560,1368,1422,736,248,1349,1338,1330,1237,843,602
03:30,,,,,1586,1171,906,230,1664,1650,1403,1648,1640,998,227,1374,1331,1426,1003,1318,1034,219,1266,1418,1534.128,1277,1405,730,250,1360,1418,1402,1330,837,594
