Unnamed: 0,一,二,三,四,五,六,日,一.1,二.1,三.1,四.1,五.1,六.1,日.1,一.2,二.2,三.2,四.2,五.2,六.2,日.2,一.3,二.3,三.3,四.3,五.3,六.3,日.3,一.4,二.4,三.4,四.4
,,,,02/01,02/02,02/03,02/04,02/05,02/06,02/07,02/08,02/09,02/10,02/11,02/12,02/13,02/14,02/15,02/16,02/17,02/18,02/19,02/20,02/21,02/22,02/23,02/24,02/25,02/26,02/27,02/28,02/29
00:15,,,,1320,1398,1469.128,1027,658.128,1438,520.128,160.128,157.128,158.128,150.256,142.128,1042.128,1190.128,1184.128,1573.128,1614.128,1549.128,491,1597,1629,1648,1645,1611,1339,533,1328,1669,1126
00:30,,,,1318,1354.128,1331,1008.128,661.128,1410.128,282.128,157.128,147.128,157,155.128,146.128,1083.128,1168.128,1213.128,1590.128,1587,1554,477,1579,1602,1664,1586,1461,1243,515,1259,1720,1083
00:45,,,,1339.128,1341,1470.128,982.128,656,1430.128,259.128,157.128,149,157.128,158.128,149.128,1075.128,1166.128,1256.128,1619.128,1574,1411.128,470,1571,1578,1571,1509,1624,1336,506,1288,1659,1070
01:00,,,,1525,1376.128,1442,962,659.128,1408.128,261.128,158,150,155,152.128,146.128,1029.128,1155.128,1216.128,1616.128,1582.128,1384.128,483,1571,1509,1453,1520,1581,1346,510,1304,1653,1078
01:15,,,,1574,1371,1546,1008.128,659.128,1381,259.128,162.128,155.128,154.128,150.128,142.128,1037.128,1163.128,1170.128,1523.128,1555,1422,474,1539,1485,1541,1576,1584,1211,514,1293,1680,1066
01:30,,,,1418.128,1509.128,1522.128,995.128,659.128,1342.128,253.128,152.128,155,158,152.128,142.128,1043.128,1184.128,1149.128,1514,1538.128,1422.128,470,1478,1584,1566,1494,1611,1214,523,1302,1630,1083
01:45,,,,1499,1765,1538,976,667,1378.128,256.128,152,155.128,157.128,149.128,144.128,1034.128,1160.128,1178.128,1590.128,1522,1390.128,461,1611,1589,1603,1586,1606,1198,517,1496,1629,1074
02:00,,,,1517,1526.128,1555.128,939.128,664.128,1360.128,262.128,158.128,150,160,150.256,142.128,1030.128,1155.128,1173.128,1630.128,1562.128,1334,469,1581,1550,1562,1570,1592,1130,501,1307,1578,1072
02:15,,,,1435.128,1509,1379,918,656.128,1366,254,155.128,150.128,158.128,154.128,142.128,1042.128,1154.128,1160.128,1598.128,1558,1314.128,464,1554,1558,1560,1570,1536,1170,498,1490,1488,1078
02:30,,,,1517,1539.128,1496,925.128,658.128,1382.128,261.128,160,149,158,152.128,146.128,1046.128,1181.128,1168.128,1557.128,1547,1306.128,466,1603,1571,1566,1538,1570,1125,494,1274,1573,1112
02:45,,,,1474,1538,1453.128,902.128,659,1186.128,261.128,155.128,152,155.128,152.128,144.128,1026.128,1072.128,1136.128,1558.128,1512.128,1344,470,1635,1544,1379,1627,1530,1114,498,1317,1608,1218
03:00,,,,1488,1490.128,1427,901,661.128,1202.128,253.128,150.128,154.128,158,158.128,142.128,1022.128,1018.128,1128.128,1566.128,1437,1315,462,1494,1587,1389,1566,1514,1141,494,1336,1763,1203
03:15,,,,1461.128,1504,1528,907.128,670.128,1376,258.128,152,158,158.128,152.128,139.128,1000.128,1110.128,1131.128,1566.128,1614.128,1282,469,1520,1622.128,1338,1570,1642,1074,499,1341,1616,1213
