Unnamed: 0,一,二,三,四,五,六,日,一.1,二.1,三.1,四.1,五.1,六.1,日.1,一.2,二.2,三.2,四.2,五.2,六.2,日.2,一.3,二.3,三.3,四.3,五.3,六.3,日.3,一.4,二.4,三.4
,01/01,01/02,01/03,01/04,01/05,01/06,01/07,01/08,01/09,01/10,01/11,01/12,01/13,01/14,01/15,01/16,01/17,01/18,01/19,01/20,01/21,01/22,01/23,01/24,01/25,01/26,01/27,01/28,01/29,01/30,01/31
00:15,715,1075,1322,1293,1358,1589,1248.128,208.128,1504,1480,1550,1446,1331.128,1250,216,1386,1603,1629.128,1520,1581,955,234,1342.128,1526.128,1490.128,1419.128,443.128,952,610.128,1213,1482.128
00:30,616,968,1302,1285,1349.128,1534,1099.128,211.128,1475,1443,1557,1418.128,1333.128,1062,211,1397,1512,1701,1531,1582,1048.128,235.128,1344.128,1437.128,1408.128,1418,451.128,955.128,602.128,1197,1488
00:45,725,886,1269,1368,1395,1606.128,1166,211,1512.128,1430,1526,1418.128,1323,1064,222,1475,1509,1677.128,1523,1603,1021,237,1328,1410.128,1531.128,1402.128,445,950.128,605,1197.128,1490.128
01:00,754,894,1299,1502,1525,1600,1157.128,210.128,1482,1430,1546,1414.128,1315.128,1118,214,1464,1518,1662,1518,1662,939,243.128,1331.128,1434,1328.128,1333,435.128,890,602.128,1206,1512.128
01:15,770,1059,1333,1470,1478,1582,1294,214.128,1485.128,1445,1562,1442,1328.128,1214,216,1478,1531,1653.128,1510,1658,888,256,1312.128,1379.128,1334.128,1334.128,438.128,907.128,590.128,1182,1530
01:30,736,1010.128,1322,1499,1538,1576,1176.128,219,1522,1456,1501,1435.128,1326,1189,218,1480,1578.128,1656,1504,1661,864,240.128,1333.128,1461.128,1342.128,1366,438.128,907.128,608.128,1194.128,1429.128
01:45,733,1056,1402,1512,1469,1619,1115,210.128,1493.128,1459,1494,1392.128,1381.128,1160,210,1467,1547,1666,1477,1646,858.128,232,1312,1442,1502,1298.128,432.128,904,600.128,1224,1418
02:00,728,990,1418,1496,1469,1462.128,1091,214.128,1490,1454,1549,1370,1408.128,1214,213,1450,1462,1627.128,1520,1566,894,240.128,1315.128,1437.128,1389.128,1266,437.128,909.128,595,1226.128,1350.128
02:15,733,1053,1349.128,1518,1526,1610,1051.128,206,1522.128,1467,1506,1195.128,1387,1139,205,1467,1539,1645,1509,1590,933,235,1304.128,1440.128,1462.128,1339.128,435.128,890.128,602.128,1218,1264
02:30,726,1014,1405,1451,1438,1558,1077,213.128,1501,1528,1485,1235.128,1331.128,1186,211,1443,1510,1640,1507,1582,922,235.128,1310.128,1422,1522.128,1238.128,434.128,885,590.128,1219,1221.128
02:45,707,1000,1381,1379,1582,1566,891.128,216.128,1506.128,1504,1498,1213.128,1350.128,1131,211,1486,1501,1690.128,1536,1584,915,237,1309,1435.128,1374.128,1293,442,888.128,606.128,1202,1216
03:00,680,994,1451,1486,1466.128,1611,858,208,1555,1494,1549,1363,1325,1115,208,1499,1507,1669,1558,1568,920.128,238.128,1306.128,1392.128,1554.128,1322.128,430.128,888,598,1240.128,1315
03:15,685,973.128,1346,1562,1474,1568,1008.128,218.128,1582.128,1408,1571,1413.128,1322.128,1070,210,1506,1506.128,1701,1558,1554,901,245,1368.128,1381,1424,1333,434.128,894.128,600.128,1256,1318.128
03:30,680,862,1349,1554,1576,1659,982,218.128,1611,1402,1507,1429.128,1362.128,1178,213,1512,1518,1699.128,1541,1539,910,237.128,1370,1358.128,1542.128,1365.128,437.128,870.128,610.128,1243,1282
03:45,683,864,1350,1549,1453,1613.128,966,210,1502,1403,1566,1326,1339,1128,208,1528,1507,1675,1507,1547,872,242,1398.128,1379.128,1318.128,1285,432.128,843,606.128,1237.128,1250.128
04:00,667,867,1299,1562,1429,1456,1003.128,218.128,1594.128,1381,1386,1370.128,1342.128,1150,208,1397,1539,1557,1467,1542,874.128,245.128,1410.128,1336,1330.128,1376.128,437.128,829.128,610,1208,1269
04:15,680,1034,1365,1498,1491,1661,947,221.128,1549,1370,1482,1451.128,1366.128,1077,213,1322,1536,1608.128,1461,1538,910,243,1499.128,1410.128,1453.128,1240,440,862.128,611.128,1218,1272.128
04:30,675,1016,1290,1472,1426,1466,989.128,222,1490.128,1362,1462,1392,1296.128,1000,211,1299,1514,1554,1354,1525,869,238.128,1720,1445.128,1387.128,1414.128,435.128,883,600.128,1218.128,1256
04:45,680,1048,1354,1501,1504,1557,950,227.128,1515,1382,1432,1418.128,1267,987,224,1294,1331,1621,1354,1534,858,237,1462.128,1443.128,1462,1406,437.128,867.128,606,1211,1243
05:00,730,1013.128,1322,1474,1477,1600,902,219,1382,1459,1493,1405.128,1085.128,1005,221,1307,1294.128,1603.128,1363,1549,810,230,1387.128,1443,1440.128,1290.128,440.128,869.128,602.128,1216,1208.128
05:15,717,1000,1352,1437,1453.128,1509.128,834.128,219.128,1502.128,1438,1440,1272.128,1122.128,821,216,1317,1306,1602,1392,1541,736.128,243.128,1378.128,1446.128,1394.128,1246.128,437.128,850,600,1222.128,1234
05:30,714,1034,1309.128,1461.128,1470,1424,888.128,214.128,1501.128,1389,1483,1442.128,1102.128,835,211,1354,1304,1621.128,1426,1542,715,234.128,1402.128,1427.128,1414.128,1280.128,438.128,805.128,603.128,1211,1227.128
05:45,717,992.128,1322,1459,1405,1334,867,214.128,1493,1466.128,1478,1419.128,1318.128,994,205,1496,1318.128,1586,1403,1589,714.128,237,1389.128,1368.128,1445.128,1298,430.128,789.128,590.128,1187.128,1235.128
06:00,717,1027,1250,1451,1509.128,1344.128,782.128,219,1474.128,1405,1461,1419,1328,861,218,1502,1499,1634.128,1432,1602,674,235.128,1414.128,1413.128,1280.128,1278.128,443.128,787.128,616,1198,1235
06:15,723.128,965,1333,1413,1466,1458,810.128,374.128,1437,1387.128,1494,1442.128,1384.128,795,386,1518,1525,1621,1440,1579,648.128,442.128,1429.128,1360.128,1253.128,1339.128,478.128,778.128,843.128,1222,1291.128
06:30,722,1117.128,1230.128,1416.128,1501,1488.128,829,381.128,1475.128,1477.128,1402,1397.128,1394.128,986,405,1533,1528.128,1618.128,1461,1594,622,427,1458.128,1387.128,1442.128,1341.128,483.128,771.128,781,1227.128,1309
06:45,722.768,1059.896,1338,1488,1469.256,1357.128,784.384,336.384,1506.128,1419,1472.512,1376.512,1443.64,811.512,350.384,1544.128,1515.512,1605,1486,1595,594.128,373.128,1466.128,1374.128,1368.128,1387.128,488.128,618.128,742.128,1237,1338.128
07:00,697.776,1103.808,1402,1465.152,1512.832,1338.936,839.888,322.432,1595.512,1504.456,1652.808,1384.912,1246.064,692.68,347.576,1590.272,1508.296,1685.048,1522.992,1524.656,568,381.256,1462.128,1371.512,1366.128,1270,488.384,605.64,736.712,1293.256,1385.608
07:15,685.248,1140.096,1509,1567.608,1539.472,1338.68,810.352,322.288,1553.224,1600.464,1583.936,1333.376,1334.96,652.552,364.856,1568.272,1527.936,1647.112,1498.256,1367.808,560.432,386.896,1469.512,1386.224,1266.256,1338.768,501.176,583.608,742.928,1278.792,1335.928
07:30,703.032,1107.592,1429.944,1456.776,1538,1303.424,747.12,460.88,1580.68,1492.552,1587.128,1317.248,1366.64,624.512,430.328,1627.536,1567.28,1720.688,1536.12,1317.696,555.832,411.072,1502.584,1328.368,1434.176,1407.432,540.56,540.736,790.144,1319.096,1268.496
07:45,732.096,1211.08,1471.04,1483.984,1589.52,1341.064,524.936,494.984,1658.232,1397.696,1562.872,1494.92,1333.616,580.36,531.08,1699.384,1657.28,1713.216,1550.016,1321.664,552.4,447.12,1547.96,1488.304,1432.2,1464.4,563.728,519.552,847.024,1307.32,1348.176
08:00,885.944,1205.552,1467.832,1654.96,1668.672,1386.16,480.304,808.968,1578.352,1662.32,1640.4,1699.984,1256.888,518.92,759.68,1727.88,1717.424,1789.84,1638.072,1410.744,507.336,718.088,1587.912,1554.736,1362.864,1587.088,722.296,474.896,926.448,1496.688,1357.576
08:15,906.56,1602.184,1446.968,1618.16,1568.248,1524.488,423.304,852.232,1726.328,1693.448,1580.08,1669.696,1418.256,430.784,1047.736,1716.472,1750.152,1827.896,1752.008,1466.88,446.856,901.104,1617.36,1546.16,1426.936,1513.208,888.456,467.832,1245.896,1649.992,1438.032
08:30,900.024,1543.048,1570.76,1659.064,1541.424,1512.144,226.424,1060.72,1782.064,1744.76,1638.4,1568.656,1292.88,415.232,1157.296,1791.864,1790.008,1844.24,1677.768,1420.6,260.72,1231.552,1706.288,1551.872,1428.68,1577.152,945.736,477.056,1354.824,1689.728,1598.48
08:45,975.872,1460.56,1558.992,1501,1557.824,1521.072,227.768,1060.16,1846.72,1764.216,1721.584,1568.4,1370.368,217.36,1215.04,1773.064,1867.4,1894.408,1665.344,1445.064,240.88,1285.32,1745.208,1479.312,1486.272,1594.504,1152.704,456.12,1544.696,1698.704,1582.912
09:00,1100.24,1577.968,1584.84,1711.616,1523.64,1499.832,229.456,1194.496,1859.216,1808.208,1876.472,1555.568,1418.8,212.8,1307.76,1722.936,1889.592,1948.68,1654.2,1494.272,252.288,1371.784,1884.608,1572.664,1500.936,1695.248,1141.448,458.952,1598.216,1740.944,1614.128
09:15,1170.224,1541.896,1584.816,1687.248,1605.304,1547.088,232.896,1275.472,1871.632,1931.984,1881.208,1559.632,1460.232,214.528,1328.504,1758.896,1939.192,1843.6,1662.912,1525.496,243.568,1580.856,2090.768,1826.192,1534.608,1723.128,1134.072,447.536,1632.64,1727.352,1650.808
09:30,1181.584,1626.44,1647.696,1770.36,1717.944,1636.096,210.736,1389.44,1921.2,1851.472,1823.504,1612.088,1514.944,217.984,1537.328,1783.48,1915.976,1928.712,1655.888,1530.256,242.544,1619.464,2000.968,1845.936,1670.264,1733.32,1143.112,451.248,1655.296,1802.944,1678.064
09:45,1162.296,1511.216,1691.952,1779.536,1866.552,1711.952,202.76,1464.888,1876.536,1959.368,1949.112,1660.152,1466.304,212.416,1644.616,1764.792,1961.712,1902.896,1707.568,1419.392,244.8,1691.848,2056.648,1846.512,1780.488,1763.336,1138.312,462.072,1659.208,1777.8,1686.848
10:00,1167.152,1552.272,1715.072,1691.664,1801.016,1688.256,201.36,1528.824,1977.656,1808.848,1933.128,1632.272,1464.4,218.112,1610.552,1794.36,1902.144,1806.4,1682.576,1407.488,237.872,1644.912,2065.472,1927.152,1798.584,1775.248,1151.504,442.888,1743.984,1766.856,1663.984
10:15,1153.408,1599.888,1688.264,1793.48,1872.944,1709.448,198.528,1521.6,1872.968,1721.52,1973.2,1565.552,1500.8,218.944,1619.576,1778.096,1964.424,1793.48,1753.592,1450.688,247.288,1659.888,2015.92,1870.336,1742.6,1785.776,1152.528,456.368,1733.312,1760.712,1646.472
10:30,1200.328,1546.44,1771.2,1661.368,1791.68,1723.216,198.912,1568.376,1890.192,1852.416,1744,1617.2,1469.424,205.632,1611.984,1781.624,1979.536,1779.12,1777.464,1479.344,231.488,1669.456,2028.536,1893.896,1749.776,1703.616,1061.768,459.632,1715.216,1718.512,1631.544
10:45,1237.264,1646.672,1723.576,1829.2,1831.184,1712.52,206.592,1519.048,1894.84,1834.928,1713.552,1620.352,1443.408,205.312,1537.288,1788.032,1966.008,1887.224,1801.72,1491.52,231.864,1656.016,2021.872,1942.664,1768.824,1730.88,1103.12,466.704,1663.472,1715.664,1638.32
11:00,1205.872,1553.288,1672.464,1775.44,1833.024,1686.848,212.928,1549.112,1834.736,1940.224,1714.744,1662.664,1455.632,200.896,1375.312,1817.648,2027.504,1978.888,1742.576,1574.016,238.272,1611.064,2016.968,1908.56,1727.864,1745.712,1103.552,513.792,1746.288,1745.272,1615.472
11:15,1171.024,1555.136,1680.432,1845.112,1806.536,1647.56,218.752,1556.656,1865.784,1933.624,1776.176,1650.184,1482.424,196.16,1384.568,1785.104,2051.216,1783.992,1752.192,1571.632,242.632,1577.296,2001.296,1872.064,1661.12,1696.784,1051.76,632.96,1542.592,1753.552,1675.52
11:30,1187.144,1588.096,1650.224,1810.504,1659.64,1634.36,210.112,1565.968,1856.64,1969.168,1983.432,1728.76,1394.944,211.264,1384.448,1785.52,2025.024,1737.104,1769.216,1541,250.96,1622.08,1999.216,1866.896,1681.456,1653.496,996.736,614.272,1564.304,1698.192,1687.864
11:45,1128.008,1519.496,1645.744,1696.52,1631.672,1645.64,218.88,1589.008,1843.504,1795.648,1934.216,1680.76,1446.904,192.704,1399.824,1712.752,1935.096,1748.944,1851.152,1468.936,255.688,1564.088,1986.24,1795.344,1486.52,1597.744,880.12,646.84,1680.048,1710.84,1696.136
12:00,1134.08,1552.12,1612.344,1769.328,1734.016,1658.864,219.2,1565.36,1748.424,1790.2,2039.488,1549.264,1503.504,193.472,1495.936,1761.904,1859.072,1827.344,1860.536,1420.16,235.632,1580.104,2008.784,1827.648,1454.712,1504.192,916.344,598.984,1704.832,1725.24,1716.944
12:15,1013.824,1533.36,1645.256,1740.624,1743.472,1657.096,215.68,1397.568,1855.032,1883.536,2041.672,1600.824,1340.096,205.44,1546.248,1749.104,1841.264,1814.464,1852.096,1335.416,240.256,1587.32,1970.992,1813.112,1578.56,1551.608,960.696,596.728,1670.928,1519.152,1672.336
12:30,1024,1540.664,1587.008,1667.44,1773.008,1651.392,214.144,1603.984,1701.576,1739.96,1894.784,1555.76,1499.128,200.896,1548.552,1722.696,1895.864,1851.568,1896.336,1372.232,245.064,1579.912,1830.736,1815.176,1553.712,1522.944,943.6,586.32,1638.264,1699.248,1670.728
12:45,1012.232,1526.096,1617.008,1739.336,1697.088,1654.52,220.16,1453.968,1852.048,1783.032,1951.056,1457.168,1427.08,208,1588.616,1720.704,1740.088,1850.696,1918.144,1366.208,236.024,1614.28,1941.184,1814.528,1576.576,1526.52,934.928,579.52,1696.128,1750.656,1677.816
13:00,1021.064,1569.168,1545.784,1625.776,1769.152,1628.144,214.208,1521.208,1803.976,1693.136,1919.76,1464.32,1464.584,212.544,1653.768,1727.248,1817.968,1880.824,1925.888,1364.104,235.896,1584.528,1925.056,1812.672,1585.784,1537.144,1070.024,590.264,1721.976,1683.056,1708.784
13:15,1047.368,1482.424,1553.552,1589.448,1831.416,1635.776,219.2,1600.496,1885.576,1792.704,2069.392,1525.888,1576.912,228.352,1591.232,1756.688,1673.208,1909.176,1914.424,1323.832,236.28,1627.584,1939.208,1800.632,1616.72,1500.352,1092.848,574.984,1698.568,1681.72,1681.928
