Unnamed: 0,一,二,三,四,五,六,日,一.1,二.1,三.1,四.1,五.1,六.1,日.1,一.2,二.2,三.2,四.2,五.2,六.2,日.2,一.3,二.3,三.3,四.3,五.3,六.3,日.3,一.4,二.4,三.4,四.4,五.4,六.4,日.4
,,,,,03/01,03/02,03/03,03/04,03/05,03/06,03/07,03/08,03/09,03/10,03/11,03/12,03/13,03/14,03/15,03/16,03/17,03/18,03/19,03/20,03/21,03/22,03/23,03/24,03/25,03/26,03/27,03/28,03/29,03/30,03/31
00:15,,,,,1272.128,1258,955,522,1483,1448,1469,1330,1493,1315,469,1333,1619.128,1632.128,1242.128,1406.128,1386.128,189,1299,1485,1456,1598,1112,1230,219,1486,1405,1618,1597,1594,1437
00:30,,,,,1419,1155,962,525,1477,1389,1440,1317,1488,1078,466,1302,1494.128,1624.128,1459.128,1379,1342,200,1290.128,1506,1453,1586,1146,1181,219,1306,1469,1544,1528,1528,1342
00:45,,,,,1283,1158,963,523,1336,1389,1462,1301,1475,1160,472,1149,1602.256,1629.128,1394.256,1394.128,1307.128,186,1294,1554,1450,1544,1368,1168,224,1411,1389,1566,1530,1550,1402
01:00,,,,,1325,1154,1021,525,1283,1418,1392,1310,1478,1184,466,1086,1606.128,1626.256,1426.128,1386,1307,190,1294,1480,1466,1589,1309,1107,227,1333,1360,1610,1579,1557,1232
01:15,,,,,1307,1198,962,518,1258,1394,1432,1299,1462,1179,466,1126,1526.128,1493.128,1422.128,1402,1294,179,1309.128,1541,1435,1578,1312,1134,219,1421,1413,1582,1365,1571,1266
01:30,,,,,1290,1339,957,523,1259,1408,1474,1307,1466,1187,467,1232,1613.128,1411.128,1406.256,1350.128,958.128,186,1306,1560,1392,1557,1378,1144,218,1352,1350,1475,1350,1576,1218
01:45,,,,,1320,1261,954,523,1266,1398,1523,1304,1461,1192,466,1234,1656.128,1430.256,1434.128,1363,1037,190,1307,1454,1376,1552,1291,1133,213,1414,1346,1618,1346,1664,955
02:00,,,,,1334,1307,949,525,1269,1422,1520,1333,1477,1179,469,1248,1509.256,1637.128,1272.128,1379.128,1142.128,187,1307,1488,1366,1552,1318,1152,221,1389,1397,1466,1382,1587,853
02:15,,,,,1224,1331,926,533,1298,1186,1450,1370,1461,1170,470,1242,1642.128,1624.128,1435.128,1413,1131.128,189,1360,1522,1374,1554,1334,1155,218,1454,1187,1606,1448,1598,1018
