Unnamed: 0,一,二,三,四,五,六,日,一.1,二.1,三.1,四.1,五.1,六.1,日.1,一.2,二.2,三.2
,,,05/01,05/02,05/03,05/04,05/05,05/06,05/07,05/08,05/09,05/10,05/11,05/12,05/13,05/14,05/15
00:15,,,1638,1165,1554,1534,1146,254,1390,1432,1821,1517,1579,981,174,1525,1582
00:30,,,1582,1150,1574,1491,1133,256,1406,1434,1698,1531,1632,941,171,1378,1454
00:45,,,1598,1165,1552,1501,1150,248,1360,1414,1715,1555,1643,957,173,1397,1566
01:00,,,1501,1157,1534,1515,1200,251,1402,1437,1685,1565,1685,941,170,1416,1574
01:15,,,1507,1157,1515,1560,1202,254,1426,1347,1718,1534,1651,933,171,1533,1371
01:30,,,1493,1150,1533,1562,1117,261,1397,1339,1696,1555,1635,923,168,1565,1347
01:45,,,1491,1200,1520,1485,1005,250,1402,1475,1702,1850,1680,909,170,1626,1525
02:00,,,1474,1186,1477,1312,1035,250,1422,1440,1664,1893,1693,918,173,1602,1502
02:15,,,1480,1198,1293,1347,984,246,1387,1419,1656,1707,1666,885,170,1614,1568
02:30,,,1440,1205,1278,1462,1000,259,1363,1339,1653,1651,1533,874,173,1557,1451
02:45,,,1486,1192,1282,1427,970,254,1306,1211,1642,1621,1498,891,170,1610,1619
03:00,,,1453,1152,1291,1454,994,253,1152,1200,1602,1438,1477,840,168,1554,1562
03:15,,,1408,1139,1285,1469,965,248,1173,1194,1376,1437,1485,626,168,1531,1534
03:30,,,1394,1141,1280,1450,946,250,1158,1195,1307,1419,1322,619,170,1512,1597
03:45,,,1522,1136,1277,1450,726,253,1326,1174,1302,1405,1280,610,168,1520,1566
04:00,,,1312,1171,1288,1440,680,256,1429,1186,1339,1422,1278,594,174,1435,1509
04:15,,,1285,1125,1286,1275,704,264,1445,1171,1552,1422,1256,587,171,1490,1552
04:30,,,1285,1104,1386,1283,698,245,1448,1237,1554,1456,1275,587,173,1522,1464
04:45,,,1262,1114,1376,1278,699,248,1446,1405,1550,1587,1410,581,174,1386,1526
05:00,,,1371,1109,1402,1472,699,250,1451,1378,1582,1642,1430,557,170,1298,1483
05:15,,,1507,1128,1461,1429,678,259,1198,1405,1560.512,1658,1229,552,173,1342,1538.128
05:30,,,1496,1123,1444.28,1398.384,678.384,254.408,1400.688,1413.64,1509.576,1710.512,1351.792,553.536,170,1403,1377.296
05:45,,,1432.384,1128.64,1455.312,1463.992,681.04,253.168,1348.736,1351.504,1503.152,1678.16,1437.392,544.776,166.024,1495.944,1585.936
06:00,,,1354.04,1140.272,1464.512,1443.832,679.736,274.696,1411.784,1336.584,1548.792,1704.624,1481.216,524.68,170.504,1491.32,1550.64
06:15,,,1527.824,1159.944,1498.16,1494.768,651.312,403.768,1409.592,1247.296,1538.256,1752.648,1499.216,464.848,304.184,1491.328,1530.816
06:30,,,1474.688,1174.448,1477.448,1542.288,630.672,471.952,1439.168,1398.256,1711.936,1714.576,1489.272,0,369.2,1521.968,1588.288
06:45,,,1466.752,1184.392,1467.768,1519.184,616.896,406.216,1567.288,1504.768,1646.64,1699.824,1441.784,0,304.384,1585.928,1565.264
07:00,,,1258.184,1246.288,1574.264,1515.96,638.216,358.968,1482.872,1598.408,1664.896,1778.512,1442.88,0,284.864,1716.424,1581.32
