Unnamed: 0,一,二,三,四,五,六,日,一.1,二.1,三.1,四.1,五.1,六.1,日.1,一.2,二.2,三.2,四.2,五.2,六.2,日.2,一.3,二.3,三.3,四.3,五.3,六.3,日.3,一.4,二.4,三.4,四.4
,,,11/01,11/02,11/03,11/04,11/05,11/06,11/07,11/08,11/09,11/10,11/11,11/12,11/13,11/14,11/15,11/16,11/17,11/18,11/19,11/20,11/21,11/22,11/23,11/24,11/25,11/26,11/27,11/28,11/29,11/30
00:15,,,1230,1198,1315,1296,1227,213,1350,1517,1355,1435,1234,1099,216,1338,1093,1270,1338,1282,939,227,1578,1219,1427,1493,1619,930,230,1515,1560,1445
00:30,,,1238,1115,1315,1302,1155,216,1248,1294,1235,1333,1182,1109,221,1376,1082,1194,1362,1310,749,227,1534,1307,1427,1464,1597,939,234,1502,1510,1515
00:45,,,1275,1123,1248,1288,1168,218,1432,1179,1362,1390,1158,1104,222,1354,1090,1117,1347,1262,936,222,1568,1378,1613,1453,1506,917,227,1517,1544,1477
01:00,,,1301,1088,1314,1299,1125,213,1419,1098,1264,1437,1138,1142,221,1402,1230,1254,1208,1219,950,224,1590,1366,1643,1458,1539,888,229,1493,1498,1502
01:15,,,1306,1072,1400,1280,1144,219,1485,1077,1363,1408,1138,1080,229,1277,1224,1234,1371,1338,920,222,1522,1410,1685,1448,1533,890,235,1466,1438,1483
01:30,,,1318,1214,1384,1283,1146,221,1526,1170,1349,1226,1142,1098,218,1358,1304,1267,1178,1298,768,219,1498,1368,1458,1454,1533,886,229,1571,1538,1454
01:45,,,1278,1152,1390,1280,1130,213,1309,1435,1293,1238,1189,1011,221,1326,1214,1184,1251,1211,904,232,1552,1370,1536,1445,1538,930,237,1474,1472,1320
02:00,,,1315,1149,1390,1270,1115,219,1285,1301,1400,1189,1309,965,222,1262,1301,1262,1341,1315,899,226,1442,1397,1482,1413,1574,960,232,1381,1445,1301
02:15,,,1278,1054,1330,1306,1098,211,1266,1318,1365,1314,1285,814,216,1141,1322,1203,1374,1245,963,226,1440,1419,1446,1453,1557,910,227,1314,1530,1421
02:30,,,1270,1051,1347,1064,1056,216,1250,1299,1357,1406,1310,914,216,1301,1261,1315,1368,1222,939,224,1502,1397,1605,1464,1406,875,246,1344,1454,1403
02:45,,,1270,1046,1251,1224,1070,226,1259,1253,1210,1346,1275,906,227,1325,1290,1258,1384,1205,834,224,1486,1434,1581,1464,1312,854,234,1285,1600,1381
03:00,,,1261,1034,1245,1272,1075,221,1264,1261,1202,1427,1299,907,213,1349,1322,1320,1318,1346,902,224,1472,1403,1582,1488,1325,835,235,1379,1430,1378
03:15,,,1261,1053,1202,1278,1093,221,1258,1226,1205,1408,1315,827,218,1314,1333,1104,1381,1330,938,227,1528,1440,1454,1438,1334,822,246,1352,1600,1360
03:30,,,1245,1040,1240,1338,1093,221,1232,1250,1197,1386,1278,848,221,1283,1266,1243,1275,1346,699,221,1496,1488,1342,1414,1349,803,237,1378,1522,1286
03:45,,,1251,1022,1245,1482,1069,216,1224,1205,1162,1472,1336,802,213,1294,1330,1226,1334,1290,728,224,1483,1424,1320,1397,1326,757,243,1330,1416,1278
04:00,,,1246,1050,1224,1397,1062,216,1290,1261,1222,1426,1226,824,224,1278,1285,1270,1230,1243,920,227,1461,1368,1326,1400,1336,738,243,1349,1347,1280
04:15,,,1245,1149,1155,1400,1040,214,1142,1251,1330,1365,1134,800,214,1280,1280,1171,1123,1184,866,224,1469,1362,1320,1414,1530,741,237,1286,1331,1298
04:30,,,1248,1133,1168,1301,1029,216,1133,1232,1418,1408,1138,806,221,1178,1309,1288,1120,1282,838,226,1331,1397,1413,1422,1582,730,246,1338,1346,1290
04:45,,,1248,1157,1136,1238,986,221,1118,1250,1390,1422,1150,794,222,1317,1243,1150,1123,1272,702,229,1368,1349,1370,1429,1563,741,237,1296,1360,1363
05:00,,,1246,1134,1122,1240,830,214,1070,1227,1360,1370,1222,778,216,1307,1286,1072,1146,1296,842,224,1506,1360,1325,1419,1550,741,235,1347,1362,1363
05:15,,,1256,1179,1141,1195,814,218,1072,1258,1357,1389,1224,819,213,1282,1291,1056,1299,1221,874,229,1555,1389,1293,1410,1509,739,243,1315,1366,1357
05:30,,,1267,1166,1162,1130,800,224,1080,1198,1363,1346,1195,734,218,1309,1182,1134,1285,1163,851,227,1493,1346,1322,1392,1530,733,238,1306,1370,1293
05:45,,,1314,1069,1147,1213,786,216,1042,1251,1355,1376,1216,733,208,1262,1254,1254,1248,1099,680,222,1499,1330,1331,1416,1504,715,238,1171,1376,1302
06:00,,,1291,1061,1266,1064,782,250,1014,1243,1347,1398,1229,813,238,1294,1310,1243,1333,1109,635,251,1486,1398,1376,1416,1533,661,251,1165,1350,1299
06:15,,,1227.536,1056.328,1340.792,1143.688,753.152,364.56,974.384,1260.152,1323.64,1304.128,1218,707,406,1338,1296,1326,1328,1134.256,629,408.128,1442,1403,1395,1422,1533,579,429,1134,1349,1261
06:30,,,1227.32,1172.744,1322.624,1177.744,754.624,410.568,991.424,1353.848,1326.392,1300.656,1183.048,650.384,411,1331,1182.536,1286.128,1333.432,1096.912,609.4,365.584,1463.864,1386.096,1406.224,1402.768,1501.048,570,388.408,1143.408,1352,1261
06:45,,,1231.992,1321.04,1287.168,1204.224,704.312,361.408,1027.528,1267.6,1330.184,1349.328,1205.704,595.856,376.328,1284.152,1360.88,1450.256,1434.744,967.68,589.68,333.944,1448.12,1399.944,1468.944,1414.2,1505.776,569.912,347.664,1318.728,1402.432,1306.944
07:00,,,1208.008,1289.48,1385.792,1010.768,704.56,341.824,1114.688,1331.784,1332.552,1370.88,1191.28,565.24,344.056,1222.096,1333.824,1475.088,1470.008,1010.256,599.024,350.2,1482.032,1402.368,1457.728,1426.36,1435.448,550.512,358.848,1337.592,1434.064,1331.056
07:15,,,1251.64,1238.912,1476.296,1150.864,680.368,365.88,1267.72,1257.032,1413.136,1391.632,1121.976,510.928,347.464,1182.528,1405.624,1561.08,1431.416,1023.152,607.616,376.88,1439.16,1544.368,1430.776,1547.512,1281.744,532.096,396.688,1374.024,1422.288,1356.176
07:30,,,1211.984,1261.816,1431.88,1166.736,659.76,429.76,1081.672,1311.68,1409.712,1312.656,1161.288,501.456,420.432,1149.376,1304.976,1530.696,1181.176,1139.856,543.376,405.304,1552.304,1504.896,1318.968,1475.632,1265.224,537.84,473.992,1270.48,1432.888,1412.224
07:45,,,1266.888,1262.664,1417.272,1210.248,610.48,511.16,1124.352,1353.168,1420.104,1460.352,1168.784,497.16,491.472,1161.6,1437.392,1513.488,1171.072,1115.4,488.976,547.528,1595.904,1566.392,1536.768,1491.344,1186.504,509.776,602.184,1401.976,1447.36,1359.736
08:00,,,1344.056,1346.176,1572.48,1239.76,485.504,708.296,1247.496,1304.824,1535.288,1401.92,1189.456,457.008,711.168,1262.976,1413.504,1542.928,1263.184,1074.608,463.088,773.568,1668.04,1515.912,1665.552,1530.864,1233.68,460.912,760.24,1441.52,1585.544,1394.872
08:15,,,1479.952,1348.28,1612.472,1250.864,404.784,930.512,1275.776,1460.088,1628.216,1435.376,1139.448,421.36,1070.704,1601.744,1588.08,1652.6,1365.304,1198.736,451.12,1190.768,1672.968,1597.2,1712.176,1622.736,1358.136,436.928,927.864,1504.96,1621.2,1443.264
08:30,,,1480.704,1424.464,1614.896,1277.176,243.52,1268.88,1327.856,1449.52,1602.376,1460.8,1190.96,254.32,1191.696,1697.232,1619.184,1642.104,1596.536,1400.304,262.896,1224.784,1710.464,1582.592,1651.312,1795.448,1379.072,288.256,1235.208,1547.272,1705.616,1438.28
08:45,,,1284.544,1471.568,1683.504,1288.336,248.96,1509.072,1305.936,1313.912,1597.184,1554.944,1181.624,228.216,1284.36,1686.84,1604.592,1707.6,1579.888,1174.928,257.664,1250.992,1767.424,1635.064,1803.4,1686.776,1370.896,244.104,1170.992,1587.536,1958.096,1404.168
09:00,,,1307.704,1533.76,1707.376,1246.328,245.632,1518.32,1236.104,1388.176,1663.224,1668.928,1172.92,225.264,1237.456,1714.96,1544.76,1757.52,1687.36,1257.168,251.904,1284.656,1805.232,1573.512,1865.096,1623.04,1361.528,232.96,1259.208,1642.16,1827.632,1448.008
09:15,,,1295.368,1690.88,1724.912,1235.76,236.416,1524.544,1225.392,1374.448,1720.248,1607.184,1209.992,221.512,1331.6,1737.168,1678.672,1726.072,1980.872,1380.56,250.624,1350.84,1867.888,1655.04,1849.416,1661.816,1276.304,223.44,1336.368,1706.48,1842.224,1490.752
09:30,,,1320.776,1697.344,1717.632,1386.736,232.448,1535.496,1368.896,1382.16,1698.352,1605.752,1282.32,219.648,1458.416,1727.288,1740.472,1772.496,1883.528,1330.808,245.824,1388.096,1873.84,1654.6,1922.808,1726.912,1271.088,228.808,1447.992,1661.24,1861.816,1498.128
09:45,,,1302.2,1730.168,1753.8,1375.56,244.032,1605.936,1406.712,1377.416,1689.144,1589.12,1237.456,230.672,1439.248,1746.512,1829.328,1696.136,1818.8,1340.992,246.912,1431.744,1839.872,1640.832,1896.656,1799.856,1275.088,235.024,1484.168,1677.104,1950.256,1476.784
10:00,,,1351.248,1694.256,1764.92,1366.16,238.528,1601.088,1661.176,1374.08,1703.608,1607.664,1248.568,212.088,1485.048,1775.8,2011.576,1556.616,1817.472,1406.456,255.552,1456.576,1791.12,1665.536,1926.768,1779.592,1219.576,236.88,1473.8,1687.744,2037.392,1544.648
10:15,,,1413.312,1806.352,1737.4,1412.232,241.728,1634.104,1539.464,1384.304,1760.88,1703.952,1275.44,216.712,1633.4,1776.584,1980.016,1579.448,1858.952,1430.024,246.72,1579.08,1874.632,1693.04,1939.656,1766.984,1183.624,232.128,1483.384,1581.32,2038.472,1624.072
10:30,,,1418.352,1764.808,1735.16,1350.28,239.232,1724.488,1417.648,1410.928,1779.008,1779.856,1212.48,218.352,1684.872,1793.608,1917.624,1589.44,1852.92,1450.296,242.048,1594.32,1883.384,1748.24,1941.496,1770.44,1157.496,225.336,1483.28,1690.64,2042.16,1676.488
10:45,,,1338.184,1778.504,1776.688,1236.848,233.6,1708.872,1375.952,1457.2,1784.056,1694.64,1179.696,223.624,1743.296,1815.792,1943.184,1594.68,1890.576,1415.152,253.12,1579.52,1817.28,1713.728,1936.272,1791.496,1156.672,230.584,1460.016,1635.84,2028.8,1656.84
11:00,,,1346.384,1779.896,1799.92,1181.392,242.048,1655.032,1319.504,1466.368,1764.736,1758.856,1313.552,228.168,1748.048,1792.656,1807.568,1586.68,1932.912,1444.344,241.472,1588.856,1959.608,1767.696,1915.384,1842.944,1146.616,232.328,1516.56,1697.712,2029.504,1595.784
11:15,,,1359.552,1726.024,1761.4,1172.144,232.192,1639.096,1369.096,1410.544,1726.4,1628.408,1300.984,219.12,1955.848,1752.976,1869.072,1644.816,1894.768,1432.112,248.768,1542.912,2036.872,1813.56,1953.736,1823.088,1164.464,230.736,1551.616,1700.08,1997.96,1586.808
