Unnamed: 0,一,二,三,四,五,六,日,一.1,二.1,三.1,四.1,五.1,六.1,日.1,一.2,二.2
,10/16,10/17,10/18,10/19,10/20,10/21,10/22,10/23,10/24,10/25,10/26,10/27,10/28,10/29,10/30,10/31
00:15,214,1232,1022,1042,1010,1366,1067,237,1312,1264,1058,1077,1317,718,227,1158
00:30,226,1186,1034,1027,974,1362,1099,238,1213,1269,1248,1080,1267,702,230,1194
00:45,222,1171,1006,1069,997,1346,1051,226,1250,1267,1211,1091,1280,717,229,1176
01:00,221,1160,997,1032,998,1357,1078,222,1242,1246,1243,1078,1275,702,218,1166
01:15,229,1158,998,1019,1029,1349,1126,227,1229,1240,1237,1061,1232,706,230,1166
01:30,222,1162,990,1010,1242,1378,1067,224,1291,1250,1254,1067,1226,702,224,1122
01:45,219,1152,979,1046,1192,1230,1069,229,1182,1126,1258,1062,1250,706,230,1099
02:00,224,1174,987,1062,1187,1400,1048,226,1203,1085,1195,1026,1237,710,242,1069
02:15,216,1163,984,1054,1174,1406,1042,227,1211,1070,1218,1019,1285,704,230,1117
02:30,221,1074,971,1035,1192,1283,1026,227,1178,1059,1222,1014,1085,709,243,1088
02:45,219,1043,976,1000,1198,1134,1021,229,1258,1042,1176,1003,1061,690,240,1088
03:00,218,1037,970,1019,1178,1147,978,227,1256,1064,1158,1011,1053,678,230,1085
03:15,222,1043,971,1014,1163,1163,837,227,1058,1109,1000,1005,1053,667,230,1058
03:30,221,1035,976,1010,1152,1349,778,222,1032,1096,997,1000,1024,664,230,1173
03:45,218,1027,965,1022,1155,1323,758,234,1010,1093,998,997,1022,653,234,1258
04:00,221,1024,990,1046,946,1323,738,234,992,1072,1005,987,1030,621,240,1187
04:15,226,1043,1026,1048,997,1307,714,229,1011,1070,986,995,1045,627,221,1203
04:30,221,1040,1008,1080,1213,1347,715,227,1051,1082,965,1003,1240,629,226,1026
04:45,224,1059,1221,1186,1158,1330,877,227,1245,1110,1163,978,1226,630,224,1034
05:00,222,1106,1038,1182,1173,1230,909,222,1245,1109,1147,981,1208,624,226,1237
05:15,235,1082,1339,1406,1162,1101,910,232,1238,1080,1186,1013,1210,616,229,1240
05:30,232,1013,1232,1344,1163,1042,878,226,1155,1128,1171,1034,1240,630,229,1275
05:45,226,1016,1163,1325,1115,1136,896,229,1266,1146,1168,955,1246,637,234,1190
06:00,266,1014,1158,1323,1027,1205,878,237,1227,1123.128,1179.128,944,1248,618,240,1213
06:15,424.96,1019.192,1151.48,1305.392,1174.192,1237,854.584,427.152,1279.992,1067.4,1153.272,933.128,1227,624.512,362.384,1159.816
06:30,374.032,1016.84,1135.8,1328.824,1189.944,1058.56,747.192,424.832,1327.736,1084.528,1195.248,909.424,1203,595.016,421.552,1185.232
06:45,340.112,1009.328,1127.984,1319.368,1190.984,1235.008,623.24,363.96,1629.568,1093.104,1184.72,903.672,1213,539.856,355.648,1162.448
07:00,352,1046.408,1122.768,1324.344,1212.728,1277.432,567.688,348.864,1592.208,1220.024,1158.336,1019.472,1218.64,518.224,352.712,1048.496
07:15,360.72,1111.344,1164.416,1397.704,1219.824,1288.184,544.392,347.856,1404.552,1143.752,1291.456,999.232,1243.76,483.512,387.064,1140.272
07:30,417.792,1133.512,1213.872,1382.2,1123.584,1115.856,543.368,425.136,1424.144,1150.984,1170.488,982.096,1219.704,485.504,428.816,1252.68
07:45,512.272,1165.128,1229.488,1378.36,1174.992,1136.32,497.032,514.248,1463.608,1139.192,1290.056,1011.192,1191.56,485.04,529.904,1348.816
08:00,747.152,1225.976,1350.016,1470.52,1135.928,1141.648,484.224,770.16,1599.36,1231.8,1273.928,1145.4,992.496,462,746.888,1400.376
08:15,1085.64,1267.512,1369.936,1588.544,1212.552,1204.872,454.984,949.264,1572.272,1311.992,1384.584,1292.232,925.952,468.368,1018.448,1381.296
08:30,1214.856,1324.608,1468.56,1612.336,1209.6,1191.736,248.368,1111.728,1577.928,1375.416,1443.84,1282.048,948.088,460.016,1147.648,1408.784
08:45,1242.432,1358.992,1486.288,1611.28,1308.4,1263.696,236.92,1179.968,1625.52,1484.176,1505.728,1340.104,966.336,442.416,1299.856,1440.272
09:00,1385.216,1348.528,1525.96,1600.136,1402.432,1446.4,231.696,1244.176,1412.552,1512.824,1501.56,1384.824,1014.6,283.208,1441.36,1470.288
09:15,1656.52,1417.08,1517.936,1624.128,1397.296,1447.16,239.504,1513.216,1457.712,1530.504,1504.632,1417.288,1041.032,241.208,1469.072,1510.192
09:30,1629.32,1420.976,1558.584,1598.536,1579.912,1445.56,235.536,1517,1534.392,1547.824,1283.12,1495.984,1032.56,231.424,1503.28,1476.216
