Unnamed: 0,一,二,三,四,五,六,日,一.1,二.1,三.1,四.1,五.1,六.1,日.1,一.2,二.2,三.2,四.2,五.2,六.2,日.2,一.3,二.3,三.3,四.3,五.3,六.3,日.3,一.4,二.4,三.4,四.4
,,08/01,08/02,08/03,08/04,08/05,08/06,08/07,08/08,08/09,08/10,08/11,08/12,08/13,08/14,08/15,08/16,08/17,08/18,08/19,08/20,08/21,08/22,08/23,08/24,08/25,08/26,08/27,08/28,08/29,08/30,08/31
00:15,,1160,1178,1288,1752,1299,1277,251,1088,1170,1298,1187,1330,1048,443,1094,1293,1576,1635,1648,1400,254,1357,1541,1552,1611,1402,1466,253,1701,1595,1638
00:30,,1219,1149,1317,1611,1310,1232,238,1088,1226,1291,1197,1309,1021,443,1227,1309,1931,1621,1614,1418,248,1360,1549,1547,1590,1539,1451,248,1667,1621,1669
00:45,,1010,1189,1272,1600,1315,1086,251,1096,1226,1318,1198,1314,1030,427,1251,1320,1808,1643,1435,1384,246,1406,1531,1531,1598,1570,1462,243,1677,1664,1634
01:00,,958,1102,1293,1621,1288,1053,269,1082,1178,1317,1152,1275,1043,426,1261,1306,1723,1622,1392,1394,262,1403,1509,1498,1672,1502,1498,246,1674,1643,1608
01:15,,965,1182,1290,1590,1259,1074,254,1134,1149,1323,1147,1274,1022,429,1235,1198,1651,1642,1432,1382,253,1438,1518,1549,1635,1525,1494,240,1693,1605,1499
01:30,,936,1234,1290,1576,1259,1061,251,1115,1160,1307,1157,1270,1019,424,1152,1240,1674,1658,1366,1379,254,1416,1480,1589,1606,1482,1382,240,1682,1611,1478
01:45,,966,1213,1288,1558,1245,1077,245,1126,1158,1290,1134,1258,1008,422,1275,1254,1685,1678,1194,1386,246,1424,1464,1584,1622,1493,1243,243,1690,1522,1606
02:00,,976,1237,1288,1331,1264,1059,240,1102,1141,1296,1133,1227,934,422,1274,1246,1638,1677,1176,1360,248,1373,1466,1566,1597,1469,1258,246,1686,1315,1598
02:15,,982,1174,1285,1291,1234,1064,266,1080,1146,1354,1149,1214,805,434,1227,1395,1501,1629,1184,1357,256,1354,1451,1586,1630,1491,1398,238,1682,1306,1573
02:30,,955,1218,1301,1275,1250,1018,253,1051,1178,1299,1139,1242,731,422,1242,1142,1499,1618,1205,1283,254,1370,1469,1603,1560,1482,1333,242,1653,1291,1589
02:45,,960,1158,1250,1283,1182,1013,245,1061,1165,1322,1146,1229,733,427,1245,1382,1262,1621,1381,1186,248,1378,1432,1581,1563,1472,1272,248,1667,1314,1581
03:00,,1013,1168,1243,1283,1149,1003,243,1030,1155,1301,1141,1227,898,414,1230,1317,1250,1624,1389,1202,250,1346,1462,1579,1525,1467,1171,245,1664,1290,1566
03:15,,1035,1144,1238,1266,1400,1053,254,915,1115,1322,1144,1224,946,427,1272,1358,1256,1632,1366,1170,262,1346,1376,1467,1510,1443,1166,240,1653,1309,1518
03:30,,1037,1181,1237,1442,1406,856,251,955,1118,1294,1203,1253,867,418,1061,1466,1251,1622,1370,1154,251,1325,1485,1378,1381,1429,1128,238,1675,1333,1347
