Unnamed: 0,一,二,三,四,五,六,日,一.1,二.1,三.1,四.1,五.1,六.1,日.1,一.2,二.2,三.2,四.2,五.2,六.2,日.2,一.3,二.3,三.3,四.3,五.3,六.3,日.3,一.4,二.4,三.4,四.4,五.4
,,,,06/01,06/02,06/03,06/04,06/05,06/06,06/07,06/08,06/09,06/10,06/11,06/12,06/13,06/14,06/15,06/16,06/17,06/18,06/19,06/20,06/21,06/22,06/23,06/24,06/25,06/26,06/27,06/28,06/29,06/30
00:15,,,,1213,1299,1173,990,224,1066,1138,1461,1309,1398,1066,139,1266,1454,1469,1470,1315,1227,146,1206,1282,1243,1123,890,846,219,1138,1339,1411,1096
00:30,,,,1186,1381,1181,979,219,1067,1136,1259,1248,1395,1019,138,1294,1410,1461,1397,1256,1162,147,1190,1261,1139,1101,891,834,214,1112,1323,1382,1080
00:45,,,,1210,1379,1230,938,214,1098,1149,1294,1262,1406,1030,144,1250,1451,1434,1378,1253,1086,149,1186,1288,1253,1123,882,845,214,989,1280,1416,1042
01:00,,,,1163,1378,1197,968,232,1074,1154,1186,1269,1437,1040,136,1272,1443,1453,1394,1237,1067,149,1195,1269,1227,922,891,750,210,1110,1067,1366,1042
01:15,,,,1218,1416,1194,942,237,960,1171,1195,1275,1427,1061,136,1171,1453,1448,1381,1282,1062,152,1210,1254,1267,1038,955,682,213,1146,1096,1338,1043
01:30,,,,1194,1362,1210,936,224,878,1134,1397,1283,1445,1046,136,1302,1445,1422,1397,1270,1054,154,1253,1251,1222,1074,950,680,206,1050,1307,1338,1053
01:45,,,,1256,1288,1195,936,218,1054,1146,1450,1290,1298,1043,138,1272,1384,1469,1397,1251,1062,149,1234,1256,1238,1066,947,650,203,1091,1272,1346,1040
02:00,,,,1210,1298,1181,923,216,1056,1219,1446,1274,1203,928,141,1301,1395,1474,1382,1258,1035,150,1250,1278,1302,1094,877,653,206,1123,1144,1355,1099
02:15,,,,1216,1230,1179,928,214,1101,1142,1427,1277,1192,757,138,1278,1331,1470,1314,1254,1032,152,1240,1266,1280,1080,867,627,203,1150,1250,1283,1243
02:30,,,,1158,1200,1162,856,221,1088,1202,1398,1242,1378,779,138,1293,1330,1480,1312,1242,957,149,1234,1267,1310,954,883,608,208,1125,1322,1088,1194
02:45,,,,1184,1186,1165,720,221,1099,1213,1397,1246,1371,965,136,1264,1306,1488,1384,1066,973,146,1205,1091,1298,842,856,605,210,1162,1347,1280,1250
03:00,,,,1048,1200,1168,709,211,1054,1138,1405,1288,1309,918,141,1138,1339,1461,1181,1109,981,146,1192,933,1219,848,872,621,208,1128,1296,1229,1243
03:15,,,,1072,1238,1141,765,210,1059,1166,1397,1096,1227,950,141,1110,1298,1467,1178,1125,715,147,1174,938,1099,838,869,611,211,1146,1378,1158,1205
03:30,,,,1234,1074,1029,726,219,1118,1163,1389,1120,1202,912,142,1104,1165,1438,1107,1102,723,146,1192,965,1102,840,874,610,206,1192,1157,1147,1171
03:45,,,,1224,1075,938,694,224,1102,1014,1238,1112,1176,746,141,1195,1384,1307,1085,1286,712,149,1181,947,1093,835,835,573,205,1173,1126,1187,1141
04:00,,,,1298,1061,974,682,224,1006,1003,1174,1062,1258,733,141,1245,1174,1301,1107,1194,685,147,1189,968,1062,848,848,533,203,1189,1253,957,1139
04:15,,,,1387,1010,1139,698,222,1099,1229,1157,1229,1373,747,144,1040,1210,1314,1155,1205,654,152,1186,1163,1048,848,851,520,206,1165,1318,984,1120
04:30,,,,1317,1024,1142,691,221,1062,1216,1179,1275,1331,738,149,1056,1330,1270,1237,1194,662,149,1173,1110,1053,837,875,522,208,1130,1242,1006,1125
04:45,,,,1261,1046,1134,685,229,1062,1200,1370,1194,1323,709,139,1043,1264,1440,1242,1122,605,147,1186,1024,1037,952,851,510,208,1149,1117,1029,1141
05:00,,,,1278,1069,1106,694,224,1074,1213,1462,1266,1317,888,139,1054,1325,1450,1110,1206,560,146,1202,997,1120,1040,859,512,211,1131,1118,1138,1155
05:15,,,,1235,1042,1086.512,858.64,218,1035.152,1194.768,1440.256,1245,1288.128,827,139,1050,1381,1429,1195,1267,550,142,1190.256,1032.64,1200,1109.512,839.28,515.92,221,1157.512,1270.024,1134,1155
05:30,,,,1246.768,1089.712,1108.496,846.784,232.56,1041.776,1193.92,1253.488,1125.816,1378.944,809.168,143.864,1071.04,1440.176,1442,1222.352,1195,782.224,150.6,1181.488,1082.952,1152.656,1109.504,851.216,535.432,219.376,1128.448,1246.16,1128.576,1161.4
05:45,,,,1254.984,1151.368,1097.152,783.104,225.36,1126.776,1250.304,1230.544,1036.464,1370.04,817.864,145.072,1131.784,1444.8,1493.56,1137.776,1157.128,729.208,149.776,1194.816,1035.2,1155.32,1081.68,858.24,540.752,230.592,1119.376,1257.536,1185.104,1166.224
06:00,,,,1325.64,1139.472,1065.6,839.992,231.28,1225.792,1207.56,1239.944,1198.344,1282.624,743.24,154.736,1205.888,1366.072,1290.224,1227.136,1276.664,710,160.56,1192.52,996.88,1159.36,1037.832,837.944,535.744,217.024,1166.776,1272.264,1166.728,1154.752
06:15,,,,1275.208,1156.992,1063.672,693.76,405.488,1172.352,1241.992,1429.112,1138.064,1270.648,832.112,289.232,1222.216,1377.648,1451.376,1224.144,1277.688,743.616,384.192,1173,1053.248,1135.12,1109.64,838.848,539.016,425.488,1163.024,1222.144,1145.848,1196.112
06:30,,,,1282.096,1137.144,1093.896,618.568,410.504,1147.64,1251.312,1457.288,1221.304,1286.064,709.576,356.88,1233.416,1407.416,1492.336,1016.816,1254.84,580.416,342.968,1208.144,1090.936,1211.512,1074.184,848.12,533.072,422.976,1161.392,1102.896,1161.864,1200.056
06:45,,,,1324.808,1059.28,1046.584,571.152,391.024,1200.208,1329.936,1440.448,1069.264,1246.528,613.888,290.296,1198.664,1480.768,1537.736,1107.72,1228.088,569.424,301.12,1232.888,1088.136,1216.464,1082.752,875.088,516.944,355.456,1191.472,1111.496,1124.992,1203.264
07:00,,,,1331.696,1100.48,1049.296,583.632,382.984,1211.696,1274.496,1353.936,1173.696,1267.856,614.4,276.28,1231.744,1470.672,1512.584,1135.728,1127.872,547.92,283.392,1348.032,1038.536,1196.304,1082.824,859.512,512.248,355.856,1316.8,1239.056,1065.552,1171.976
07:15,,,,1342.272,1096.848,1062.064,581.768,401.032,1242.952,1259.52,1411.72,1442.544,1368.376,618.432,310.336,1353.864,1444.368,1525.952,1164.408,1143.024,517,334.8,1167.752,1274.096,1123.016,1072.248,866.88,483.016,389.696,1391.624,1209.8,1050.112,1129.536
07:30,,,,1251.856,1092.144,1095.888,546.576,504.24,1258.384,1233.48,1454.416,1384.568,1280.88,566.96,431.504,1318.096,1451.2,1537.976,1125.432,1114.992,505.84,432.848,1193.776,1175.296,1020.416,1084.048,891.856,451.08,451.704,1288.88,1312.704,1048.496,1110.664
07:45,,,,1310.712,959.56,1066.944,492.984,521.288,1268.024,1290.768,1447.376,1189.232,1197.584,518.216,523.44,1325.96,1491.384,1375.176,1140.024,1166.704,496.888,504.704,1194.296,1176.56,997.36,1037.896,968.688,443.72,502.92,1354.624,1416.84,1068.528,1165.136
08:00,,,,1400.696,997.768,1129.984,439.416,844.304,1458.288,1432.56,1388.36,1215.104,1195.824,480,750.6,1416.904,1571.136,1513.744,1202.512,1262.544,428.168,708.8,1286.776,1280.56,1001.024,1082.504,987.968,431.672,829.968,1251.824,1407.664,1168.752,1272.184
08:15,,,,1504.688,1115.024,1181.576,347.856,1172.936,1494.584,1624.248,1425.272,1283.512,1246.864,419.136,994.928,1532.728,1453.904,1632.696,1272.64,1599.376,391.424,800.256,1422.192,1264.248,1072.368,1126.408,1068.984,429.88,995.536,1377.808,1431.8,1260.688,1413.136
08:30,,,,1613.696,1150,1253.128,250.304,1222.416,1742.024,1692.48,1655.344,1357.232,1427.568,335.496,1172.72,1641.336,1503.536,1605.384,1382.896,1430.584,387.512,1152.888,1385.528,1311.304,1181.52,1141.24,1279.872,437.072,1030.28,1474.896,1495.872,1294.608,1489.664
08:45,,,,1551.48,1178.512,1329.528,238.344,1561.536,1746.448,1824.248,1569.648,1476.656,1537.4,145.488,1268.032,1717.136,1553.216,1810.888,1534.92,1663.352,112.976,1265.2,1448.896,1340.624,1147.144,1156.04,1257.664,435.904,1142.48,1596.736,1526.664,1376.448,1514.416
09:00,,,,1623.312,1230.6,1188.208,231.424,1666.496,1749.2,1704.64,1615.056,1720.192,1488.056,83.264,1409.872,1758.536,1680.144,1896.312,1593.848,1669,0,1511.856,1531,1382.008,1163.184,1171.512,1288.776,321.728,1391.552,1637.688,1711.216,1472.256,1471.048
09:15,,,,1677.104,1291.504,1328.904,233.608,1718.728,1900.232,1605.64,1731.2,1824.064,1528.08,85.056,1467.472,1862.216,1750.008,1969.208,1615.664,1647.056,0,1485.84,1554.048,1414.792,1179.96,1235.448,1262.976,241.216,1515.96,1681.856,1885.184,1514.624,1508.72
09:30,,,,1667.208,1386.496,1220.344,245.304,1671.688,1973.688,1603.848,1810.368,1765.184,1533.256,78.208,1474.96,1798.792,1803.344,1803.384,1612.56,1597.36,0,1516.656,1572.272,1408.048,1223.296,1247.088,1310.4,235.136,1560.76,1538.48,1749.872,1586.96,1593.328
09:45,,,,1666.256,1457.84,1308.544,242.88,1893.04,1863.112,1577.488,1841.488,1757.744,1515.568,81.6,1535.216,1732.976,1793.792,1769.136,1597.512,1677.512,0,1509.824,1540.336,1375.68,1210.096,1216.56,1303.176,235.536,1555.512,1644.728,1774.448,1580.048,1596.16
10:00,,,,1687.856,1473.872,1475.128,253.376,1839.928,1928.016,1673.272,1914.16,1860.144,1596.472,82.112,1415.096,1809.936,1852.496,1873.792,1592.048,1701.368,0,1490.88,1546.056,1361.656,1205.448,1180.984,1276.744,252.032,1595.264,1597.392,1785.224,1491.768,1729.904
10:15,,,,1722.824,1444.48,1466.896,243.456,1835.528,1918.456,1794.824,1914.288,1829.696,1551.36,75.2,1431.368,1862.968,1702.272,1988.176,1762.432,1657.336,0,1483.896,1569.712,1410.192,1261.624,1186.76,1352.44,255.168,1565.648,1665.928,1810.928,1420.944,1750.336
