Unnamed: 0,一,二,三,四,五,六,日,一.1,二.1,三.1,四.1,五.1,六.1,日.1,一.2,二.2,三.2,四.2,五.2,六.2,日.2,一.3,二.3,三.3,四.3,五.3,六.3,日.3,一.4,二.4,三.4,四.4,五.4,六.4
,,,,,09/01,09/02,09/03,09/04,09/05,09/06,09/07,09/08,09/09,09/10,09/11,09/12,09/13,09/14,09/15,09/16,09/17,09/18,09/19,09/20,09/21,09/22,09/23,09/24,09/25,09/26,09/27,09/28,09/29,09/30
00:15,,,,,1483,1285,936,219,1330,1187,1288,1413,1077,795,227,1211,1275,1314,1230,1123,1061,237,1240,1253,1470,1454,1285,1314,149,1218,971,1414,1264,1000
00:30,,,,,1501,1302,899,229,1346,1162,1280,1402,1139,760,224,1093,1278,1138,1259,955,1155,237,1078,1237,1446,1422,1245,1218,149,1288,974,1400,1186,1003
00:45,,,,,1531,1334,939,229,1317,1179,1285,1430,1109,800,227,1002,1293,1091,1214,1099,1098,251,1171,1061,1475,1214,1158,1176,152,1282,971,1397,1160,986
01:00,,,,,1595,1285,779,218,1344,1150,1277,1418,1178,784,221,1022,1298,1304,1154,939,1035,230,1211,1037,1382,1243,1261,1235,146,1318,1005,1354,1192,978
01:15,,,,,1608,1322,818,222,1405,1158,1270,1414,1157,776,214,1032,1277,1328,1235,1094,1112,232,1192,981,1362,1237,1240,997,154,1245,990,1347,1133,954
01:30,,,,,1573,1333,813,216,1386,1216,1253,1176,1117,760,229,1162,1264,1323,1230,922,1064,230,1192,1022,1264,1198,1237,1123,149,1211,966,1366,1280,930
01:45,,,,,1586,1374,803,221,1376,1173,1250,1285,1130,802,224,1123,1230,1406,1243,914,1061,243,1155,1144,1488,1216,1194,1112,154,1197,970,1360,1280,789
02:00,,,,,1507,1334,773,222,1397,1149,1227,1320,1094,818,226,1098,1136,1314,1370,1112,1062,243,1194,1182,1445,1205,1221,1093,152,1194,966,1205,1190,794
02:15,,,,,1557,1301,731,219,1371,1141,1274,1346,1078,792,227,1061,1254,1192,1346,960,1066,227,1238,1202,1397,1438,1218,1050,149,1197,950,1131,1022,816
02:30,,,,,1546,1314,709,218,1326,1134,1334,1306,1102,786,222,1202,1261,1293,1304,1040,978,227,1258,1139,1467,1370,1229,909,154,1202,949,1104,1016,805
02:45,,,,,1536,1294,717,224,1205,1122,1330,1259,1096,774,229,1186,1269,1238,1197,984,1040,248,1274,979,1432,1421,1163,1106,154,1051,928,1246,1045,790
03:00,,,,,1464,1157,707,230,1205,1158,1322,1202,1053,770,234,1162,1190,1230,1274,952,1064,240,1304,954,1414,1203,1224,950,155,997,910,1339,1074,789
03:15,,,,,1384,1122,709,224,1315,1226,1275,1094,1120,770,226,1133,1171,1325,1310,1051,963,229,1267,990,1469,1286,1146,1064,160,990,923,1349,1061,792
03:30,,,,,1395,1120,706,232,1330,1134,1208,1042,1062,762,232,974,1230,1238,1261,994,995,229,1606,1214,1438,1448,1142,1104,160,998,922,1107,1064,787
03:45,,,,,1381,1059,696,227,1224,998,1181,1074,1072,762,227,1006,1258,1309,1198,1000,1059,237,1398,1202,1410,1445,1192,918,154,1005,933,1086,1050,741
04:00,,,,,1344,1102,710,221,1168,1170,1189,1058,1046,768,227,1122,1243,1352,1213,1037,992,237,1326,1197,1432,1376,1222,1091,149,989,1021,1098,971,762
04:15,,,,,1360,1128,725,232,1147,1166,1221,1173,1090,757,226,1114,1187,1315,1293,947,987,226,1322,1250,1470,1373,1090,1008,157,1027,1083,1085,1056,821
04:30,,,,,1344,1109,698,222,1232,1184,1187,1264,1050,742,219,1122,1202,1114,1267,1016,1002,230,1322,1078,1426,1355,1206,1011,154,1054,1173,1090,1010,971
04:45,,,,,1336,1115,659,221,1275,1192,1176,1291,1074,696,224,1070,1205,1096,1208,1040,933,232,1275,1243,1406,1386,1178,1077,152,1288,1112,1222,1075,974
05:00,,,,,1318,1074,650,234,1285,1154,1192,1258,1021,678,222,1126,1208,1122,1240,979,1013,245,1296,1314,1432,1416,1200,1000,157,1274,1141,1235,938,869
05:15,,,,,1355,1062,642,221,1286,1112,1192,1382,1067,680,227,1064,1221,1117,1230,963,1024,234,1256,1277,1274,1355,1187,901,149,1282,1134,1150,917,912
05:30,,,,,1382,1069,618,227,1243,1118,1219,1395,1083,698,227,1157,1202,1330,1213,829,1026,237,1373,1181,1430,1416,1013,966,152,1181,1179,1326,1086,926
05:45,,,,,1404.92,1035.128,627,224,1330,1107,1258.128,1382,1176.384,698.944,221.64,1136.768,1197.512,1243.384,1243,825.152,901,232.128,1230,1016,1429,1445,1131,776,149,1184,1101,1298.256,1002,950
06:00,,,,,1462.72,1005.752,619.912,232,1316.736,1038.736,1266.224,1325.432,1132.856,690.872,231.424,1100.112,1188.216,1346.424,1289.28,982.92,761.48,237.504,1275.28,1254.992,1428.992,1359.12,1072.56,956.688,158.992,1208.456,1100.92,1289.68,1040,992.584
06:15,,,,,1444.68,1027.592,616.96,352,1328.384,1052.352,1256.008,1323.856,1138.12,682.76,330.896,1143.416,1182.832,1332.4,1349.824,905.08,796.656,319.48,1355.32,1177.992,1480.888,1399.352,1205.304,810.168,200.016,1234.944,1077.88,1313.712,1038.6,960.512
06:30,,,,,1402.384,1127.824,587.904,402,1292.432,1032.008,1180.856,1317.648,1066.736,694.224,376.712,1157.04,1206.976,1255.888,1147.2,1002.928,971.528,398.784,1342.408,1187.528,1471.416,1426.224,1116.496,851.08,192.952,1269.96,1080.08,1317.072,978.112,878.784
06:45,,,,,1400.336,1079.752,562.296,330,1365.168,1056.784,1214,1355.968,1100.656,675.344,331.4,1228.624,1253.936,1327.864,1256.064,987.28,920.528,326.592,1249.808,1288.952,1370.928,1223.552,1167.696,668.48,190.288,1104.064,1093.072,1296.496,1047.224,773.12
07:00,,,,,1391.12,1025.976,552.528,332.536,1319.048,1157.584,1203.136,1384.944,1063.152,654.008,321.024,1217.272,1304.712,1252.88,1315.272,879.224,773.232,325.192,1288.008,1322.888,1425.072,1412.72,1281.544,674.168,198.92,1198.072,1120.304,1344.4,1055.368,795.512
07:15,,,,,1421.328,1053.112,503.632,375.376,1267.216,1257.472,1260.944,1391.888,1080.776,592.064,328.368,1082.96,1273.608,1396.496,1411.72,1112.944,687.24,345.008,1347.912,1293.576,1409.288,1352.176,1076.464,878.984,233.864,1307.12,1188.68,1466.312,990.984,798.896
07:30,,,,,1509.768,1088.208,512.824,443.264,1377.024,1219.016,1170.744,1409.336,1068.304,567.696,439.152,1083.184,1271.424,1384.248,1277.712,1065.584,660.496,444.68,1379.216,1265.976,1485.824,1406.784,1122.176,631.856,351.864,1146.704,1168.96,1465.104,959.416,822.48
07:45,,,,,1475.76,1080.2,516.864,483.12,1362.304,1173.064,1191.608,1421.312,1072.696,548.792,518.656,1097.848,1342.024,1362.04,1341.56,1005.128,569.352,519.928,1433.016,1332.016,1545.296,1383.152,1285.376,599.664,387.784,1202.312,1228.744,1503.16,1030.608,867.592
08:00,,,,,1573.2,1092.28,502.264,715.92,1472.08,1271.048,1261.768,1390.264,1103.76,453.176,775.04,1171.768,1459.84,1562.688,1262.408,951.632,505.296,776.512,1516.936,1447.488,1569.472,1550.848,1342.088,469.392,650.448,1461.896,1336.568,1574.96,982.152,921.472
08:15,,,,,1616.784,1078.216,434.032,894.392,1499.248,1345.016,1247.232,1586.44,1129.2,409.16,958.672,1270.92,1591.408,1695.368,1611.504,959.728,443.664,1131.952,1683.464,1662.864,1773.776,1497.072,1464.88,473.488,862.4,1500.664,1402.688,1566.088,1150.32,960.632
08:30,,,,,1736.272,1133.104,224.768,1121.288,1525.712,1402.832,1291.64,1455.864,1180.24,239.104,1155.824,1311.824,1645.68,1720.632,1660.528,1011.024,318.968,1173.392,1740.424,1654.728,1803.4,1518.08,1609.16,469.712,1081.008,1621.616,1467.592,1562.576,1154.832,998.664
08:45,,,,,1711.76,1144.888,224.648,1261.616,1639.736,1376.2,1464.44,1697.52,1345.728,236.032,1266.768,1578.32,1677.512,1732.272,1806.088,1118.928,265.088,1323.376,1812.16,1691.96,1785.664,1566.6,1604.88,429.448,1150.96,1728.592,1476.28,1477.328,1160.072,953.52
09:00,,,,,1736.056,1213.44,228.56,1223.216,1668.432,1405.872,1398.336,1695.056,1309.112,236.032,1325.584,1679.504,1663.496,1657.984,1816.208,1172.152,245.96,1575.936,1838.464,1673.464,1721.16,1561.656,1623.992,347.728,1499.584,1675.6,1538.944,1714.632,1158.208,1100.688
09:15,,,,,1692.48,1185.224,216.136,1260.808,1710.968,1406.712,1366.352,1890.104,1125.576,231.744,1456.264,1737.912,1678.896,1643.64,1860.296,1246.448,264.128,1668.496,1793.28,1699.696,1777.272,1536.976,1699.6,0,1381.12,1792.464,1578.768,1551.936,1155.72,1192.824
09:30,,,,,1743.024,1144.512,215.344,1183.984,1727.728,1566.896,1519.176,1962.552,1089.92,236.992,1568.688,1682.376,1785.872,1643.504,1868.8,1244.672,273.856,1681.272,1833.936,1652.224,1820.36,1527.424,1735.984,0,1282.736,1797.072,1624.08,1577.584,1264.376,1133.376
09:45,,,,,1782.776,1209.808,233.424,1237.808,1690.176,1557.752,1454.328,1736.272,1109.552,236.16,1635.696,1678.032,1829.584,1641.36,1859.856,1250.624,269.328,1700.88,1855.608,1735.312,1768.976,1595.656,1697.016,0,1504.304,1769.992,1584.712,1602.576,1228.792,1111.76
10:00,,,,,1769.968,1202.56,228.744,1356.488,1735.808,1446.008,1458.128,1828.808,1199.688,246.464,1714.576,1651.952,1782.608,1623.224,1902.152,1232.848,255.232,1654.576,1844.272,1775.288,1807.76,1644.304,1681.736,0,1542.592,1829.248,1708.792,1611.792,1066.424,1160.968
10:15,,,,,1783.048,1348.992,236.168,1492.344,1710.264,1700.728,1410.672,1797.76,1197.2,239.808,1756.664,1723.592,1842.312,1588.112,1850.76,1264.328,266.56,1635.2,1812.048,1744.368,1766.408,1842.88,1683.776,0,1492.608,1758.656,1587.12,1607.344,1199.888,1151.624
10:30,,,,,1832.648,1352.384,217.152,1535.488,1753.656,1673.352,1543.992,1755.016,1202.504,233.6,1697.096,1786.312,1839.472,1594.616,1892.544,1324.736,283.072,1612.656,1721.016,1817.016,1852.336,1778.696,1699.632,0,1464.624,1776.752,1630.464,1715.896,1360.256,1127.168
10:45,,,,,1880.832,1288.824,224.464,1535.368,1758.512,1633.144,1639.352,1898.04,1151.872,240.192,1634.056,1779.824,1831.552,1622.448,1845.56,1209.136,278.592,1636.936,1787.712,1781.632,1833.656,1751.312,1693.36,0,1302.48,1890.872,1643.376,1812.112,1357.624,1127.664
11:00,,,,,1734.416,1333.44,226.24,1537.552,1726.584,1561.592,1662.2,1856.696,1146.432,240.576,1684.288,1734.208,1820.688,1650.256,1786.064,1292.112,259.264,1655.504,1771.44,2059.136,1997.192,1786.096,1684.928,0,1283.592,1807.928,1644.104,1776.496,1284.616,1105.6
11:15,,,,,1746.296,1301.064,226.496,1580.216,1766.352,1601.088,1599.104,1884.352,1140.936,255.424,1666.688,1771.28,1753.016,1686.152,1770.312,1242.312,249.344,1718.016,1581.76,1917.584,1812.28,1766.92,1672.376,0,1286.4,1868.424,1644.872,1830.92,1233.648,1118.664
11:30,,,,,1791.952,1263.944,229.824,1563.152,1758.912,1478.264,1681.424,1879.856,1116.616,244.032,1666.448,1709.52,1777.232,1669.896,1778.128,1254.792,263.744,1685.312,1701.704,1872.192,1745.208,1718.704,1593.6,0,1247.736,1764.592,1566.72,1875.76,1248.336,1023.992
11:45,,,,,1854.968,1220.368,210.56,1439.928,1736.384,1498.992,1608.648,1815.944,1100.296,232.832,1624.384,1735.544,1746.752,1623.376,1790.4,1214.032,274.048,1683.776,1801.584,1817.984,1726.896,1712.32,1589.96,0,1336.376,1695.68,1548.656,1730.192,1248.44,1112.312
12:00,,,,,1793.264,1149.888,233.488,1448.072,1717.696,1557.84,1544.576,1636.104,1085.368,240.768,1667.12,1690.296,1872.896,1587.28,1661.368,1229.12,273.024,1711.304,1823.744,1783.28,1701.432,1755.856,1651.832,0,1446.016,1758.544,1492.736,1812.976,1424.368,1091.392
12:15,,,,,1767.288,1185.152,224.712,1487.552,1583.496,1522.296,1598.928,1584.112,1073.2,231.68,1672.784,1699.44,1873.552,1598.856,1588.784,1204.56,254.144,1671.16,1760.832,1742.2,1724.096,1634.568,1642.56,0,1499.72,1670.32,1568.632,1861.936,1226,1071.76
12:30,,,,,1730.56,1233.072,220.912,1453.488,1607.752,1552.816,1560.128,1730.76,1060.552,240.384,1666.56,1741.072,1873.728,1581.376,1692.288,1230.84,258.432,1788.88,1782.328,1764.872,1768.832,1712.632,1620.72,0,1448.824,1688.264,1572.176,1793.216,1353.808,913.352
12:45,,,,,1761.136,1304.528,218.376,1420.04,1628.152,1549.072,1588.72,1705.096,1094,245.44,1608.96,1700.032,1878.8,1605.176,1699.96,1250.448,268.288,1688.584,1844.912,1709.256,1739.208,1658.192,1641.072,0,1478.736,1756.536,1553.144,1726.016,1343.216,1050.36
13:00,,,,,1802.448,1269.872,229.384,1482.736,1751.416,1538.184,1571.92,1761.424,1142.848,243.904,1594.88,1679.28,1807.888,1574.32,1621.696,1222.408,281.664,1787.64,1807.12,1714.952,1761.904,1699.152,1644.04,0,1483.456,1631.632,1447.248,1628.928,1335.752,1063.296
13:15,,,,,1761.456,1126.344,231.728,1428.368,1681.712,1512.448,1603.592,1742.456,1105.488,232.192,1535.032,1733.296,1860.864,1594.568,1616.528,1264.656,265.92,1974.544,1749.576,1802.112,1780.664,1683.256,1683.696,0,1534.64,1635.216,1575.048,1805.496,1261.04,1042.56
13:30,,,,,1862.128,1132.488,223.432,1383.28,1701.368,1530.944,1626.816,1745.736,1185.536,232.704,1469.008,1543.096,1840.592,1702.848,1645.896,1218.384,271.616,1738.832,1780.976,1791.56,1825.992,1591.112,1798.776,0,1563.912,1612.68,1623.28,1832.072,1306.512,1089.152
13:45,,,,,1873.016,1289.776,222.656,1430.392,1538.552,1579.456,1620.728,1745.032,1171.456,228.032,1484.168,1534.088,1720.376,1850.424,1631.496,1268.432,272.192,1478,1818.128,1822.72,1655.24,1587.536,1741.84,0,1617.92,1720.072,1661.304,1840.952,1285.68,1082.616
14:00,,,,,1823.992,1079.496,211.648,1416.84,1591.176,1515.088,1661.896,1686.608,1161.984,231.616,1680.952,1661.56,1785.4,1873.552,1719.304,1244.408,276.736,1637.04,1749.504,1881.928,1594.872,1709.56,1791.688,0,1576.128,1785.4,1754.896,1819.192,1291.952,1114.44
14:15,,,,,1846.2,1069.504,228.288,1476.664,1602.04,1500.992,1666.616,1649.336,1114.64,228.608,1703.92,1802.736,1940.608,1912.776,1701.872,1269.256,276.928,1642.568,1720.448,1940.296,1691.72,1507.152,1785.216,0,1698.376,1788.752,1701.888,1836.488,1245.072,1108.416
14:30,,,,,1802.488,1020.616,222.328,1701.704,1597.488,1496.432,1640.576,1607.92,1137.616,225.28,1708.616,1746.992,1898.384,1905.104,1709.76,1302.456,281.856,1682.64,1739.52,1937.264,1863.856,1689.664,1764.984,0,1774.408,1761.088,1723.648,1765.944,1165.296,1089.032
14:45,,,,,1873.344,1022.352,218.416,1641.096,1613.24,1459.776,1480.064,1585.92,1094.152,231.872,1622.968,1739.056,1926.272,1922.064,1670.848,1301.824,258.176,1742.712,1706.744,1847.624,1847.216,1662.512,1690.064,0,1833.648,1813.168,1888.528,1751.312,1263.44,1097.016
15:00,,,,,1753.232,995.84,216.048,1745.912,1630.768,1497.792,1550.92,1542.096,1092.224,235.584,1662.072,1525.768,1953.536,1905.152,1564.304,1282.512,271.68,1711.736,1638.84,1910.072,1916.464,1696.392,1696.632,30,1702.464,1848.256,1892.848,1814.6,1108.936,1158.16
15:15,,,,,1771.576,972.984,211.976,1638.328,1549.88,1514.616,1597.168,1543.488,1082.696,230.976,1666.168,1544.96,1823.744,1881.224,1456.576,1279.16,270.464,1664.76,1678.968,1897.232,1893.944,1722.704,1654.968,250.16,1655.44,1828.04,1834.296,1823.408,1179.016,1020.336
15:30,,,,,1726.728,970.416,230.544,1604.28,1564.096,1575.696,1539.192,1672.08,1107.184,235.776,1559.376,1683.728,1858.824,1892.864,1506.304,1240.512,273.472,1692.928,1669.44,1818.032,1858.68,1749.504,1660.552,192.832,1665.416,1770.24,1785.808,1864.016,1184.264,995.504
15:45,,,,,1694.352,958.456,221.576,1595.272,1508.296,1418.256,1516.152,1641.712,1084.216,225.152,1788.016,1741.624,1792.632,1868.096,1692.736,1260.36,248.384,1520.832,1750.208,1807.24,1857.224,1724.024,1585.712,185.408,1634.096,1601.208,1861.696,1844.216,1199.6,950.976
16:00,,,,,1644.744,1023.984,227.256,1586.632,1495.568,1513.536,1552.328,1649.424,1035.584,226.24,1579.912,1760.136,1738.896,1872.328,1624.496,1224.2,244.48,1593.288,1733.752,1775.472,1838.536,1684.472,1559.352,186.24,1393.472,1592.368,1774.208,1801.672,1127.24,1019.072
16:15,,,,,1626.288,1112.376,219.088,1606.896,1575.024,1623.536,1527.056,1640.112,994.104,246.336,1547.96,1994.32,1604.152,1857.288,1590.008,1194.048,257.584,1601.92,1587.44,1777.744,1871.504,1652.672,1606.408,191.488,1363.592,1536.12,1713.472,1815.544,1056.064,1045.256
16:30,,,,,1593.032,977.6,224.592,1620.344,1488.56,1375.76,1486.072,1595.312,995.456,235.384,1734.256,1789.376,1594.224,1789.04,1634.176,1211.768,257.552,1565.512,1463.472,1837.256,1822.2,1590.712,1579.52,180.984,1566.208,1589.232,1624.896,1759.184,1199.536,1025.208
16:45,,,,,1592.392,1040.824,242.12,1649.744,1464.496,1430.92,1481.352,1482.416,1008.592,235.44,1620.928,1756.928,1538.752,1804.04,1626.176,1214.032,264.656,1508.92,1567.864,1751.888,1755.4,1511.8,1519.28,185.584,1513.52,1497.544,1520.912,1738.992,1139.208,1026.416
17:00,,,,,1563.136,1009.48,228.672,1804.352,1479.688,1541.392,1471.76,1356.616,987.328,236.424,1649.48,1760.008,1597.648,1787.984,1595.264,1201.104,243.4,1516.104,1656.08,1773.368,1762.76,1304.96,1535.504,175.816,1558.392,1534.856,1567.296,1728.832,1151.92,1057.08
17:15,,,,,1549.048,1044.024,233.28,1813.456,1373.68,1511.984,1444.016,1236.24,967.024,244.352,1701.632,1730.936,1562.48,1822.4,1571.968,1194.88,248.208,1465.144,1596.04,1784.384,1767.632,1465.136,1515.448,161.272,1477.968,1590.072,1622.28,1648.568,1164.672,1037.368
17:30,,,,,1580.56,982.6,222.928,1800.96,1245.952,1510.656,1384.712,1250.632,945.912,238.008,1632.056,1730.688,1541.112,1788.56,1535.736,1218.32,255.032,1441.912,1595.968,1811.408,1685.744,1423.112,1458.248,171.576,1509.576,1464.576,1778.68,1626.896,1235.792,847.944
17:45,,,,,1571.632,882.256,227.024,1720.456,1268.872,1520.816,1362.808,1260.088,941,234.312,1669.584,1698.688,1520.576,1776.176,1440.776,1199.432,262.328,1482.104,1716.488,1783.76,1698.032,1436.6,1472.576,161.552,1509.448,1499.704,1585.68,1616.528,1096.248,882.608
18:00,,,,,1705.976,768.896,235.912,1738.128,1225.552,1434.256,1392.304,1435.704,944.912,235.216,1508.424,1696.272,1502.408,1742.712,1331.896,1163.2,243.968,1526.664,1677.688,1750.512,1673.152,1375.152,1363.896,155.64,1526.768,1442.896,1517.384,1715.256,1173,723
18:15,,,,,1670.072,767.224,230.512,1717,1251,1504,1430.384,1531.128,942.512,234.64,1627.256,1670.128,1450,1725,1405,1165,245,1486,1554,1624,1694,1493,1347,173,1517,1402,1645,1685,1149,698
18:30,,,,,1696,766,219,1669,1269,1462,1565,1437,909,232,1595,1621,1427,1714,1254,1106,258,1470,1592,1666,1682,1264,1339,166,1538,1461,1731,1662,997,738
18:45,,,,,1674,763,224,1659,1248,1450,1602,1451,834,248,1546,1634,1429,1720,1323,1214,264,1413,1533,1627,1667,1427,1339,170,1485,1594,1550,1683,1125,795
19:00,,,,,1616,744,226,1696,1243,1450,1602,1189,774,242,1610,1581,1458,1475,1358,1062,245,1386,1514,1579,1408,1291,1269,171,1493,1326,1432,1614,1138,904
19:15,,,,,1608,747,222,1578,1387,1341,1494,1230,813,246,1530,1574,1450,1507,1179,1070,243,1261,1515,1570,1434,1355,1075,170,1475,1347,1656,1630,1114,896
19:30,,,,,1542,720,226,1578,1302,1381,1474,1296,853,245,1363,1442,1384,1266,1264,1128,258,1211,1419,1650,1546,1286,1093,178,1424,1317,1603,1579,1122,880
19:45,,,,,1483,782,219,1522,1165,1274,1397,1168,824,234,1338,1261,1451,1270,1190,979,250,1317,1398,1605,1509,1296,1016,170,1405,1286,1539,1530,1034,898
20:00,,,,,1440,955,222,1464,1090,1190,1320,1237,803,235,1187,1253,1416,1176,1083,910,235,1304,1314,1437,1411,1261,1026,166,1291,1168,1458,1443,864,914
20:15,,,,,1410,918,234,1442,1190,968,1430,1170,824,242,1197,1243,1352,1312,1235,941,235,1206,1259,1325,1259,1131,1130,165,1211,1099,1453,1458,867,914
20:30,,,,,1352,912,226,1464,1192,1051,1373,1181,875,242,1181,1288,1330,1294,1163,992,250,1195,1317,1491,1248,1216,1117,163,1256,1126,1384,1558,1034,963
20:45,,,,,1376,931,226,1528,1245,1094,1414,1248,845,242,1227,1318,1435,1245,1029,1109,253,1226,1290,1520,1373,1227,1198,163,1253,1147,1355,1517,1216,947
21:00,,,,,1347,869,222,1507,1234,1213,1440,1170,848,237,1192,1323,1405,1294,1048,1158,237,1229,1269,1485,1405,1110,1237,165,1277,1075,1381,1523,1158,963
21:15,,,,,1363,882,222,1344,1190,1267,1398,1174,824,234,1154,1294,1406,1310,1086,1118,240,1218,1194,1613,1390,1133,1224,174,1294,1120,1418,1526,1099,926
21:30,,,,,1419,970,221,1256,1198,1288,1499,1173,846,237,1130,1266,1398,1326,947,1086,254,1286,1232,1616,1277,1069,1176,162,1267,1112,1392,1525,1074,971
21:45,,,,,1398,957,221,1250,1238,1274,1469,1173,854,232,1114,1309,1346,1352,894,1058,246,1310,1221,1614,1331,904,1090,163,1275,1101,1386,1490,1130,1019
